query1,query2,county,state,city,highway,news_id,report_key
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,FRANKLIN ST,CBMieEFVX3lxTE5TN3VCcXJsY01HdTdwWkRFNjB6cnBYUWlBdDZIVTkzYWJZTmxpM2xKSlFKZGtjcDY5S1lUMXFqdUZ1SEV3V2Y1UTl5U0wzUHBhdVdvRDZrWV9TZnlMVHRiU29jLTF4cXZUNU9UeGRkYm5KOTZWWU51RQ,ATK167768202107
train,accident,ALAMEDA,CALIFORNIA,FREMONT,FREMONT BLVD,,UP0721NC015202107
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,MARITIME STREET,,BNSFCA0421206202104
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,KNIGHT ST.,,UP0421NC007202104
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,FRUITVALE AVE,,ATK166652202103
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,FRUITVALE AVE,CBMikAFBVV95cUxOY0p6WmJMZWhIeVYySFhIU09NVzI2SnJpN1ZNeHJUeDdXLWNfSUpoZXJ0Y09lR0I3aVdCVGFkLXZsN1Fra2t1dUh3OFk0QVk2U3lCMFo1RDJDSG96bTc5cGVNeWlxQ05WcVN4cUlWd1dRUWI2QWRSUWlyRWJOcTZpSUYzRExDU0ozVE1DQmxiUXnSAZYBQVVfeXFMTnhrU1Vic1pSSzJfeW5hQmV4UmxBN08yMXJNME9zZmFmSVVrd01CVTZDYmtXUWVINUd1NU9fS0ItTHVUdVFFc0hjOFBQaVNXbzItUUFxS3dlamF3VWRNR3ZFQlZYN2JVUGdkMzJnUGdyRUcwc09TbUlRenltR3F6WWVNckV5UzlGQTYxcFJNSVdsNXFVUU1n,ATK166652202103
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,FRUITVALE AVE,CBMimgFBVV95cUxNbjU3QldqXy10WXQzRVVlV2R4YlZpRV9sVzVDYlpOcnItLTJrVDZuUHFCZXNTVkRxNGl5YlRLeUQ0ZDBSMzhaNnJWNm1yMVZpRDNqbVlzSkY1YWFTSk9DUDExQ1BwVXJnQmVUWHNYa2xpV0RjR2lJRGJGTkVCaWVKajh5ckNKazZJQzRMd2lJMVRSM1lDeG5ReXpn,ATK166652202103
train,accident,ALAMEDA,CALIFORNIA,HAYWARD,TENNYSON RD,,ATK166297202101
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,ALVARADO ST. XING,,UP0121NC005202101
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,1851 5TH ST.,,UP1220NC001202012
train,accident,ALAMEDA,CALIFORNIA,BERKELEY,BANCROFT WAY,,ATK165885202011
train,accident,ALAMEDA,CALIFORNIA,HAYWARD,PEDESTRIAN CROSSING,,ATK165840202011
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,,ATK165731202010
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,42ND AVE,,ATK165299202009
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,105TH AVE,,UP0820NC025202008
train,accident,ALAMEDA,CALIFORNIA,UNION CITY,WHIPPLE RD,,ATK164917202007
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,HESPERIAN BLVD,,ATK164352202005
train,accident,ALAMEDA,CALIFORNIA,HAYWARD,TENNYSON RD,,ATK164099202004
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH ST,,ATK163351202003
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,29TH AVE,,ATK162958202001
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,DAVIS ST,,ATK162762202001
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,BROADWAY,,ATK162464201912
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,98TH AVE,,ATK162270201912
