subject,action,spot,date,page,url
train,crash,crossing,2011-01-14,1,
train,crash,crossing,2011-01-15,1,
train,crash,crossing,2011-01-16,1,
train,crash,crossing,2011-01-17,1,
train,crash,crossing,2011-01-18,1,https://www.nhregister.com/news/article/Amtrak-train-rams-through-FedEx-truck-in-11560308.php
train,crash,crossing,2011-01-19,1,
train,crash,crossing,2011-01-20,1,
train,crash,crossing,2011-01-21,1,
train,crash,crossing,2011-01-22,1,
train,crash,crossing,2011-01-23,1,
train,crash,crossing,2011-01-24,1,
train,crash,crossing,2011-01-25,1,
train,crash,crossing,2011-01-26,1,
train,crash,crossing,2011-01-27,1,
train,crash,crossing,2011-01-28,1,
train,crash,crossing,2011-01-29,1,
train,crash,crossing,2011-01-30,1,
train,crash,crossing,2011-01-31,1,
train,crash,crossing,2011-02-01,1,
train,crash,crossing,2011-02-02,1,https://www.theguardian.com/world/2011/feb/02/18-killed-indian-train
train,crash,crossing,2011-02-03,1,https://www.stategazette.com/story/1700192.html
train,crash,crossing,2011-02-04,1,
train,crash,crossing,2011-02-05,1,
train,crash,crossing,2011-02-06,1,
train,crash,crossing,2011-02-07,1,
train,crash,crossing,2011-02-08,1,https://www.sentinel-echo.com/news/local_news/lily-woman-dies-in-knox-county-train-wreck-knox-county/article_0981da22-80c1-5bef-b897-7c68f86f2bc8.html
train,crash,crossing,2011-02-09,1,
train,crash,crossing,2011-02-10,1,
train,crash,crossing,2011-02-11,1,
train,crash,crossing,2011-02-12,1,
train,crash,crossing,2011-02-13,1,
train,crash,crossing,2011-02-14,1,
train,crash,crossing,2011-02-15,1,
train,crash,crossing,2011-02-16,1,
train,crash,crossing,2011-02-17,1,
train,crash,crossing,2011-02-18,1,
train,crash,crossing,2011-02-19,1,
train,crash,crossing,2011-02-20,1,
train,crash,crossing,2011-02-21,1,
train,crash,crossing,2011-02-22,1,
train,crash,crossing,2011-02-23,1,
train,crash,crossing,2011-02-24,1,
train,crash,crossing,2011-02-25,1,
train,crash,crossing,2011-02-26,1,
train,crash,crossing,2011-02-27,1,
train,crash,crossing,2011-02-28,1,
train,crash,crossing,2011-03-01,1,
train,crash,crossing,2011-03-02,1,
train,crash,crossing,2011-03-03,1,
train,crash,crossing,2011-03-04,1,
train,crash,crossing,2011-03-05,1,
train,crash,crossing,2011-03-06,1,
train,crash,crossing,2011-03-07,1,
train,crash,crossing,2011-03-08,1,
train,crash,crossing,2011-03-09,1,
train,crash,crossing,2011-03-10,1,
train,crash,crossing,2011-03-11,1,
train,crash,crossing,2011-03-12,1,
train,crash,crossing,2011-03-13,1,
train,crash,crossing,2011-03-14,1,
train,crash,crossing,2011-03-15,1,
train,crash,crossing,2011-03-16,1,
train,crash,crossing,2011-03-17,1,
train,crash,crossing,2011-03-18,1,
train,crash,crossing,2011-03-19,1,
train,crash,crossing,2011-03-20,1,
train,crash,crossing,2011-03-21,1,
train,crash,crossing,2011-03-22,1,
train,crash,crossing,2011-03-23,1,
train,crash,crossing,2011-03-24,1,
train,crash,crossing,2011-03-25,1,
train,crash,crossing,2011-03-26,1,
train,crash,crossing,2011-03-27,1,
train,crash,crossing,2011-03-28,1,
train,crash,crossing,2011-03-29,1,
train,crash,crossing,2011-03-30,1,
train,crash,crossing,2011-03-31,1,
train,crash,crossing,2011-04-01,1,
train,crash,crossing,2011-04-02,1,
train,crash,crossing,2011-04-03,1,
train,crash,crossing,2011-04-04,1,
train,crash,crossing,2011-04-05,1,
train,crash,crossing,2011-04-06,1,
train,crash,crossing,2011-04-07,1,
train,crash,crossing,2011-04-08,1,
train,crash,crossing,2011-04-09,1,
train,crash,crossing,2011-04-10,1,
train,crash,crossing,2011-04-11,1,
train,crash,crossing,2011-04-12,1,
train,crash,crossing,2011-04-13,1,
train,crash,crossing,2011-04-14,1,
train,crash,crossing,2011-04-15,1,
train,crash,crossing,2011-04-16,1,
train,crash,crossing,2011-04-17,1,https://tasmaniantimes.com/2011/04/another-log-truck-smash-a-sedan-crossed-to-the-wrong-side-of-the-road/
train,crash,crossing,2011-04-18,1,https://dailyreporter.com/2011/04/18/forklift-operator-injured-in-crash-with-train/
train,crash,crossing,2011-04-19,1,
train,crash,crossing,2011-04-20,1,
train,crash,crossing,2011-04-21,1,
train,crash,crossing,2011-04-22,1,
train,crash,crossing,2011-04-23,1,
train,crash,crossing,2011-04-24,1,
train,crash,crossing,2011-04-25,1,
train,crash,crossing,2011-04-26,1,
train,crash,crossing,2011-04-27,1,
train,crash,crossing,2011-04-28,1,
train,crash,crossing,2011-04-29,1,
train,crash,crossing,2011-04-30,1,
train,crash,crossing,2011-05-01,1,
train,crash,crossing,2011-05-02,1,
train,crash,crossing,2011-05-03,1,
train,crash,crossing,2011-05-04,1,
train,crash,crossing,2011-05-05,1,
train,crash,crossing,2011-05-06,1,
train,crash,crossing,2011-05-07,1,
train,crash,crossing,2011-05-08,1,
train,crash,crossing,2011-05-09,1,
train,crash,crossing,2011-05-10,1,
train,crash,crossing,2011-05-11,1,
train,crash,crossing,2011-05-12,1,https://www.nbcnews.com/id/wbna43008410
train,crash,crossing,2011-05-12,1,https://www.ocregister.com/2011/05/12/man-killed-by-train-at-tustin-crossing/
train,crash,crossing,2011-05-13,1,https://www.deseret.com/2011/5/13/20191410/2-border-patrol-agents-killed-in-arizona-crash/
train,crash,crossing,2011-05-14,1,
train,crash,crossing,2011-05-15,1,
train,crash,crossing,2011-05-16,1,
train,crash,crossing,2011-05-17,1,
train,crash,crossing,2011-05-18,1,
train,crash,crossing,2011-05-19,1,
train,crash,crossing,2011-05-20,1,
train,crash,crossing,2011-05-21,1,
train,crash,crossing,2011-05-22,1,
train,crash,crossing,2011-05-23,1,
train,crash,crossing,2011-05-24,1,https://www.wbtv.com/story/14702934/train-derailment-causes-road-closures-in-union-county/
train,crash,crossing,2011-05-25,1,
train,crash,crossing,2011-05-26,1,
train,crash,crossing,2011-05-27,1,
train,crash,crossing,2011-05-28,1,
train,crash,crossing,2011-05-29,1,
train,crash,crossing,2011-05-30,1,
train,crash,crossing,2011-05-31,1,
train,crash,crossing,2011-06-01,1,
train,crash,crossing,2011-06-02,1,
train,crash,crossing,2011-06-03,1,
train,crash,crossing,2011-06-04,1,
train,crash,crossing,2011-06-05,1,
train,crash,crossing,2011-06-06,1,https://www.reddeeradvocate.com/local-news/train-smashes-into-truck-near-innisfail
train,crash,crossing,2011-06-07,1,
train,crash,crossing,2011-06-08,1,
train,crash,crossing,2011-06-09,1,
train,crash,crossing,2011-06-10,1,
train,crash,crossing,2011-06-11,1,
train,crash,crossing,2011-06-12,1,
train,crash,crossing,2011-06-13,1,
train,crash,crossing,2011-06-14,1,
train,crash,crossing,2011-06-15,1,
train,crash,crossing,2011-06-16,1,
train,crash,crossing,2011-06-17,1,
train,crash,crossing,2011-06-18,1,
train,crash,crossing,2011-06-19,1,
train,crash,crossing,2011-06-20,1,
train,crash,crossing,2011-06-21,1,
train,crash,crossing,2011-06-22,1,https://www.dailyitem.com/news/two-killed-when-train-slams-into-car-near-herndon/article_b5a563cd-2ea2-59f1-9f2f-2ad811c0a2cd.html
train,crash,crossing,2011-06-23,1,https://abcnews.go.com/US/amtrak-train-truck-collision-reno-nevada-kills/story?id=13926108
train,crash,crossing,2011-06-24,1,https://www.nbcnews.com/id/wbna43528942
train,crash,crossing,2011-06-24,1,https://www.capecodtimes.com/story/news/2011/06/24/amtrak-train-collides-with-semi/49988559007/
train,crash,crossing,2011-06-25,1,https://www.eastbaytimes.com/2011/06/25/at-least-6-killed-when-truck-hits-bay-area-bound-amtrak-train/
train,crash,crossing,2011-06-26,1,https://www.capecodtimes.com/story/news/2011/06/26/drivers-engineer-watched-amtrak-crash/49987141007/
train,crash,crossing,2011-06-26,1,https://www.sandiegouniontribune.com/2011/06/26/officials-confirm-6-dead-in-nevada-amtrak-crash/
train,crash,crossing,2011-06-27,1,https://www.denverpost.com/2011/06/27/investigators-piece-together-nevada-amtrak-crash/
train,crash,crossing,2011-06-27,1,https://www.nbcnews.com/id/wbna43544857
train,crash,crossing,2011-06-28,1,
train,crash,crossing,2011-06-29,1,https://www.foxnews.com/us/first-lawsuit-filed-over-nevada-amtrak-train-crash
train,crash,crossing,2011-06-30,1,
train,crash,crossing,2011-07-01,1,
train,crash,crossing,2011-07-02,1,
train,crash,crossing,2011-07-03,1,
train,crash,crossing,2011-07-04,1,
train,crash,crossing,2011-07-05,1,
train,crash,crossing,2011-07-06,1,
train,crash,crossing,2011-07-07,1,
train,crash,crossing,2011-07-08,1,
train,crash,crossing,2011-07-09,1,
train,crash,crossing,2011-07-10,1,https://www.aljazeera.com/news/2011/7/10/timeline-indian-train-accidents
train,crash,crossing,2011-07-10,1,https://www.sandiegouniontribune.com/2011/07/10/31-dead-100-injured-as-train-derails-in-india/
train,crash,crossing,2011-07-11,1,https://www.aljazeera.com/news/2011/7/11/two-india-rail-incidents-leave-dozens-dead
train,crash,crossing,2011-07-12,1,https://www.fosters.com/story/news/2011/07/12/amtrak-downeaster-trains-running-day/49970487007/
train,crash,crossing,2011-07-12,1,https://www.businessinsider.com/amtrack-dump-truck-maine-2011-7
train,crash,crossing,2011-07-13,1,https://www.boston.com/news/local-news/2011/07/13/one-dead-after-amtrak-train-strikes-tractor-trailer/
train,crash,crossing,2011-07-14,1,
train,crash,crossing,2011-07-15,1,
train,crash,crossing,2011-07-16,1,
train,crash,crossing,2011-07-17,1,
train,crash,crossing,2011-07-18,1,
train,crash,crossing,2011-07-19,1,
train,crash,crossing,2011-07-20,1,
train,crash,crossing,2011-07-21,1,https://www.cbsnews.com/chicago/news/metra-train-hits-vehicle-in-tinley-park/
train,crash,crossing,2011-07-21,1,https://www.cbsnews.com/pittsburgh/news/train-tractor-trailer-collide-in-braddock/
train,crash,crossing,2011-07-22,1,
train,crash,crossing,2011-07-23,1,
train,crash,crossing,2011-07-24,1,
